city;property_type;address;coordinates;maps_url;name;number_of_units;price_paid;photos;year_built;year_bought
1;2;736 Raynard Crescent SE, Calgary, AB T2A 1X7;{"coordenates": "coordenates"};https://acortar.link/zGgrXs;736 Raynard;4;625000.00;{"photos": "photos"};1970;2021
1;2;728 Raynard Crescent SE, Calgary, Alberta, T2A1X7;{"coordenates": "coordenates"};https://goo.gl/maps/TRTZ3doYC8aV63PK6;728 Raynard;4;607000.00;{"photos": "photos"};1970;1900
2;2;136 Hermary St, Red Deer, AB T4N 5V2;{"coordenates": "coordenates"};https://goo.gl/maps/qanes8Gz6JU4Ug5Z9;136 Hermary;4;430000.00;{"photos": "photos"};9000;2021
2;2;15 Nyberg Avenue, Red Deer, Alberta, T4P1R5;{"coordenates": "coordenates"};https://goo.gl/maps/ZQVPhTwM4KLMnw8j7;15 Nyberg;4;489000.00;{"photos": "photos"};1900;1900
2;2;11 Nyberg Avenue, Red Deer, Alberta, T4P1R5;{"coordenates": "coordenates"};https://goo.gl/maps/9JxY33HD5mw8Fb3w9;11 Nyberg;4;432500.00;{"photos": "photos"};1900;2018
